I0325 13:46:54.258712   15944 log.go:245] (0xc0001e6e70) (0xc000b20140) Create stream
I0325 13:46:54.268423   15944 log.go:245] (0xc0001e6e70) (0xc000b20140) Stream added, broadcasting: 1
I0325 13:46:54.270440   15944 log.go:245] (0xc0001e6e70) Reply frame received for 1
I0325 13:46:54.270440   15944 log.go:245] (0xc000b20140) (1) Writing data frame
I0325 13:46:54.270440   15944 log.go:245] (0xc0001e6e70) (0xc000668000) Create stream
I0325 13:46:54.270440   15944 log.go:245] (0xc0001e6e70) (0xc000668000) Stream added, broadcasting: 3
I0325 13:46:54.271457   15944 log.go:245] (0xc0001e6e70) Reply frame received for 3
I0325 13:46:54.271457   15944 log.go:245] (0xc000668000) (3) Writing data frame
I0325 13:46:54.275565   15944 log.go:245] (0xc0001e6e70) Data frame received for 3
I0325 13:46:54.275565   15944 log.go:245] (0xc000668000) (3) Data frame handling
I0325 13:46:54.276082   15944 log.go:245] (0xc000668000) (3) Data frame sent
I0325 13:46:54.276082   15944 log.go:245] (0xc0001e6e70) Data frame received for 3
I0325 13:46:54.276082   15944 log.go:245] (0xc000668000) (3) Data frame handling
I0325 13:46:54.276082   15944 log.go:245] (0xc000668000) (3) Data frame sent
I0325 13:46:54.287379   15944 log.go:245] (0xc000668000) (3) Writing data frame
I0325 13:46:54.292700   15944 log.go:245] (0xc0001e6e70) Data frame received for 3
I0325 13:46:54.292700   15944 log.go:245] (0xc000668000) (3) Data frame handling
I0325 13:46:54.292700   15944 log.go:245] (0xc000668000) (3) Data frame sent
E0325 13:46:54.416839   15944 portforward.go:398] error copying from local connection to remote stream: writeto tcp4 127.0.0.1:8081->127.0.0.1:51272: read tcp4 127.0.0.1:8081->127.0.0.1:51272: wsarecv: Se ha forzado la interrupción de una conexión existente por el host remoto.
I0325 13:46:54.416839   15944 log.go:245] (0xc000668000) (3) Writing data frame
I0325 13:46:54.418531   15944 log.go:245] (0xc0001e6e70) Data frame received for 3
I0325 13:46:54.418531   15944 log.go:245] (0xc000668000) (3) Data frame handling
I0325 13:46:54.418531   15944 log.go:245] (0xc0001e6e70) (0xc000668000) Stream removed, broadcasting: 3
I0325 13:46:54.418531   15944 log.go:245] (0xc0001e6e70) Data frame received for 1
I0325 13:46:54.418531   15944 log.go:245] (0xc000b20140) (1) Data frame handling
I0325 13:46:54.419045   15944 log.go:245] (0xc0001e6e70) (0xc000b20140) Stream removed, broadcasting: 1
I0325 18:32:18.129901   15944 log.go:245] (0xc0001e6e70) EOF received
error: lost connection to pod
